Htno,Subcode,Subname,Internals,Grade,Credits
19B81A0120,R193201A,PRE-STRESSED CONCRETE,16,F,0.0
19B81A0120,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,15,D,3.0
19B81A0121,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,2,F,0.0
19B81A0121,R1932012,WATER RESOURCES ENGINEERING-II,12,F,0.0
19B81A0121,R1932013,GEOTECHNICAL ENGINEERING-I,13,F,0.0
19B81A0121,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,21,F,0.0
19B81A0121,R1932015,CAD LAB,16,A,1.5
19B81A0121,R1932016,ENVIRONMENTAL ENGINEERING LAB,14,B,1.5
19B81A0121,R1932017,SOCIALLY RELEVANT PROJECT,18,A,1.0
19B81A0121,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
19B81A0121,R193201A,PRE-STRESSED CONCRETE,12,D,3.0
19B81A0121,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,12,F,0.0
19B81A0122,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,16,C,3.0
19B81A0122,R1932012,WATER RESOURCES ENGINEERING-II,16,F,0.0
19B81A0122,R1932013,GEOTECHNICAL ENGINEERING-I,18,D,3.0
19B81A0122,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,23,C,3.0
19B81A0122,R1932015,CAD LAB,18,O,1.5
19B81A0122,R1932016,ENVIRONMENTAL ENGINEERING LAB,17,S,1.5
19B81A0122,R1932017,SOCIALLY RELEVANT PROJECT,18,S,1.0
19B81A0122,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
19B81A0122,R193201A,PRE-STRESSED CONCRETE,14,D,3.0
19B81A0122,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,16,C,3.0
19B81A0123,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,18,D,3.0
19B81A0123,R1932012,WATER RESOURCES ENGINEERING-II,14,D,3.0
19B81A0123,R1932013,GEOTECHNICAL ENGINEERING-I,19,D,3.0
19B81A0123,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,23,D,3.0
19B81A0123,R1932015,CAD LAB,20,O,1.5
19B81A0123,R1932016,ENVIRONMENTAL ENGINEERING LAB,19,O,1.5
19B81A0123,R1932017,SOCIALLY RELEVANT PROJECT,19,O,1.0
19B81A0123,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
19B81A0123,R193201A,PRE-STRESSED CONCRETE,17,C,3.0
19B81A0123,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,17,D,3.0
19B81A0124,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,14,C,3.0
19B81A0124,R1932012,WATER RESOURCES ENGINEERING-II,13,B,3.0
19B81A0124,R1932013,GEOTECHNICAL ENGINEERING-I,17,D,3.0
19B81A0124,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,22,D,3.0
19B81A0124,R1932015,CAD LAB,18,S,1.5
19B81A0124,R1932016,ENVIRONMENTAL ENGINEERING LAB,16,S,1.5
19B81A0124,R1932017,SOCIALLY RELEVANT PROJECT,19,S,1.0
19B81A0124,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
19B81A0124,R193201A,PRE-STRESSED CONCRETE,17,D,3.0
19B81A0124,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,13,D,3.0
19B81A0125,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,14,F,0.0
19B81A0125,R1932012,WATER RESOURCES ENGINEERING-II,15,D,3.0
19B81A0125,R1932013,GEOTECHNICAL ENGINEERING-I,19,F,0.0
19B81A0125,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,20,D,3.0
19B81A0125,R1932015,CAD LAB,18,S,1.5
19B81A0125,R1932016,ENVIRONMENTAL ENGINEERING LAB,16,S,1.5
